,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
21,ID3928296902,1.0,2,7,-37.814187100000005,144.93404099999998,-37.8618349,144.90571599999998,11195.0,2018-07-11,13:41:21,3569.4000000000005,14:40:50,22.31
22,ID3749067092,1.0,2,4,-37.8134313,144.944043,-37.8113201,145.0004866,5367.0,2018-02-01,23:07:23,1376.1,23:30:19,21.87
23,ID1653482605,0.0,2,4,-37.824321600000005,144.95159990000002,-37.8124003,145.01630659999998,7187.0,2018-06-01,06:48:31,1840.26,7:19:11,5.06
24,ID3458177539,1.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-06-16,08:23:47,13204.979999999996,12:03:51,56.63
25,ID3871412308,1.0,1,9,-37.809965399999996,144.96214719999998,-38.1109156,144.65417250000002,43508.0,2018-03-07,05:35:56,10534.2,8:31:30,52.98
26,ID3751146563,1.0,7,6,-37.8618349,144.90571599999998,-37.7874421,144.9804091,11630.0,2018-05-10,17:03:30,3678.5399999999986,18:04:48,23.88
27,ID5638333536,2.0,2,6,-37.8243601,144.9440946,-37.7907967,144.985865,6361.0,2018-01-01,05:50:24,1817.5800000000008,6:20:41,135.6
28,ID5201741654,2.0,1,5,-37.807270200000005,144.9569093,-37.80240560000001,144.9348884,3121.0,2018-03-13,13:27:14,787.02,13:40:21,66.99
29,ID1708535854,0.0,2,4,-37.824503799999995,144.9470991,-37.797307399999994,145.00907019999997,7360.0,2018-01-26,05:38:02,1975.0199999999993,6:10:57,11.69
30,ID1288946670,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-02-03,20:49:00,12681.060000000005,0:20:21,23.09
31,ID3883672908,1.0,2,9,-37.824583000000004,144.9459414,-38.1109156,144.65417250000002,42259.0,2018-01-21,06:08:01,10177.74,8:57:38,45.84
32,ID1846119695,0.0,2,3,-37.824097200000004,144.9486132,-37.8124968,144.9852763,3914.0,2018-05-16,01:30:49,1061.2799999999997,1:48:30,11.5
33,ID3320998136,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-03-02,19:57:19,12681.059999999998,23:28:40,56.2
34,ID1836526151,0.0,8,3,-37.8158343,145.04645,-37.8242614,144.984296,6889.0,2018-06-17,03:10:47,2020.8,3:44:27,13.15
35,ID1218079620,0.0,4,6,-37.801956,145.00332219999999,-37.773845,144.9836895,6446.0,2018-03-11,16:00:31,1405.8600000000006,16:23:56,12.7
36,ID3667140015,1.0,5,7,-37.8030157,144.9291186,-37.8618349,144.90571599999998,11423.0,2018-05-10,12:41:49,3524.7000000000007,13:40:33,23.19
37,ID3428957219,1.0,7,6,-37.8618349,144.90571599999998,-37.7907967,144.985865,11711.0,2018-03-16,09:32:29,3859.7999999999984,10:36:48,19.54
38,ID1156574420,0.0,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-01-02,17:57:04,12069.78,21:18:13,20.35
39,ID3192740020,1.0,6,3,-37.7738026,144.98364660000001,-37.8165829,144.9700231,8075.0,2018-04-19,00:22:55,2565.5999999999995,1:05:40,25.62
40,ID3490467873,1.0,4,9,-37.7996265,145.0188339,-38.1109156,144.65417250000002,49254.0,2018-01-18,01:30:21,11999.819999999998,4:50:20,59.07
41,ID3416032397,1.0,7,5,-37.8618349,144.90571599999998,-37.8019203,144.93431759999999,11041.0,2018-04-28,19:42:43,3535.0199999999986,20:41:38,28.56
42,ID1752257090,0.0,2,8,-37.8172503,144.93406090000002,-37.8158343,145.04645,10384.0,2018-07-06,22:54:22,2926.74,23:43:08,12.47
43,ID3270903274,1.0,5,2,-37.7990471,144.9355884,-37.82550379999999,144.95160259999997,5030.0,2018-05-19,17:48:46,1234.86,18:09:20,19.54
44,ID1519221092,0.0,1,6,-37.804517700000005,144.9713513,-37.773845,144.9836895,4188.0,2018-02-18,15:23:08,851.5799999999998,15:37:19,11.34
45,ID3957891592,1.0,8,4,-37.8158343,145.04645,-37.8116955,145.0126773,3235.0,2018-06-03,19:36:02,1115.2800000000002,19:54:37,20.11
46,ID5619947252,2.0,6,2,-37.7874325,144.9803767,-37.82020670000001,144.9506248,5219.0,2018-06-08,14:29:00,1356.6600000000005,14:51:36,99.17
47,ID3324507370,1.0,4,3,-37.8101799,144.99712759999997,-37.816404999999996,144.9852165,1657.0,2018-07-25,18:13:53,402.42,18:20:35,12.76
48,ID3142384929,1.0,5,2,-37.8071465,144.9336525,-37.810941899999996,144.9391187,702.0,2018-07-20,14:32:17,166.8,14:35:03,11.56
49,ID1482920112,0.0,8,2,-37.8158343,145.04645,-37.812863,144.93746399999998,10190.0,2018-06-01,21:09:45,2863.199999999997,21:57:28,14.67
50,ID5254231743,2.0,2,6,-37.8241365,144.9491165,-37.7874421,144.9804091,5874.0,2018-02-18,01:38:40,1465.7400000000007,2:03:05,121.16
51,ID1186064134,0.0,7,4,-37.8618349,144.90571599999998,-37.8166191,145.0134406,12041.0,2018-03-18,05:24:35,3766.5599999999986,6:27:21,17.22
52,ID1180124838,0.0,1,2,-37.812766700000005,144.9382388,-37.8152944,144.94190690000002,872.0,2018-07-19,02:31:47,237.18,2:35:44,9.16
53,ID3341477098,1.0,7,3,-37.8618349,144.90571599999998,-37.819195799999996,144.9875564,9386.0,2018-01-07,13:47:46,3048.36,14:38:34,26.94
54,ID1328544354,0.0,4,3,-37.8099791,144.9952351,-37.8199451,144.9686021,3133.0,2018-05-27,12:45:20,873.54,12:59:53,11.21
55,ID1904879610,0.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-02-15,14:55:30,13173.36,18:35:03,21.03
56,ID5344064851,2.0,9,1,-38.1109156,144.65417250000002,-37.8170275,144.9532475,42380.0,2018-04-08,20:49:48,10177.8,23:39:25,609.65
57,ID1475946444,0.0,8,4,-37.8158343,145.04645,-37.8075236,144.99565869999998,4826.0,2018-04-22,05:35:04,1491.2999999999995,5:59:55,13.9
58,ID1974860196,0.0,8,3,-37.8158343,145.04645,-37.8161385,144.97247030000003,6964.0,2018-03-09,11:00:47,2075.16,11:35:22,7.47
59,ID1782957180,0.0,4,8,-37.8103646,145.0156018,-37.807202000000004,145.0266373,2489.0,2018-06-02,10:31:09,600.48,10:41:09,7.16
60,ID3284414179,1.0,7,4,-37.8618349,144.90571599999998,-37.8035321,144.99440330000002,11131.0,2018-07-15,18:35:05,3655.139999999998,19:36:00,27.75
61,ID3208390135,1.0,4,9,-37.800537299999995,145.0089533,-38.1109156,144.65417250000002,48629.0,2018-04-28,05:57:15,11846.58,9:14:41,62.01
62,ID3425377140,1.0,9,1,-38.1109156,144.65417250000002,-37.8008234,144.9673772,44834.0,2018-06-06,07:01:21,10856.1,10:02:17,41.3
63,ID1931088107,0.0,6,9,-37.773845,144.9836895,-38.1109156,144.65417250000002,48197.0,2018-03-09,15:29:05,11519.399999999998,18:41:04,18.34
64,ID1372967554,0.0,9,4,-38.1109156,144.65417250000002,-37.8131367,145.014217,48309.0,2018-06-06,12:43:56,11710.92000000001,15:59:06,18.86
65,ID1386557481,0.0,3,6,-37.813466600000005,144.980399,-37.773845,144.9836895,5324.0,2018-03-24,08:44:46,1105.86,9:03:11,8.72
66,ID1589710822,0.0,5,9,-37.8045269,144.9272992,-38.1109156,144.65417250000002,44074.0,2018-06-14,01:58:32,10614.96,4:55:26,20.42
67,ID5853776891,2.0,2,4,-37.8152655,144.9277894,-37.81177879999999,144.9957427,7446.0,2018-07-06,16:24:21,1912.68,16:56:13,130.77
68,ID1590635531,0.0,3,8,-37.818763,144.9836536,-37.807202000000004,145.0266373,5227.0,2018-06-11,20:32:59,1327.7400000000002,20:55:06,9.19
69,ID3748049520,1.0,8,2,-37.8158343,145.04645,-37.8148524,144.9271316,11904.0,2018-02-13,09:05:24,3298.619999999997,10:00:22,17.26
70,ID3202832957,1.0,8,6,-37.807202000000004,145.0266373,-37.7907967,144.985865,4834.0,2018-01-19,13:39:13,1358.6400000000006,14:01:51,15.64
71,ID1603869883,0.0,4,6,-37.8006735,145.0184852,-37.7738026,144.98364660000001,10907.0,2018-07-26,14:20:02,3270.360000000001,15:14:32,10.31
72,ID1270793150,0.0,8,3,-37.807202000000004,145.0266373,-37.8153177,144.9904521,4253.0,2018-01-19,02:29:44,1048.8,2:47:12,11.12
73,ID1738443403,0.0,6,5,-37.7907967,144.985865,-37.799597,144.9256581,6643.0,2018-06-10,03:56:13,1866.6000000000006,4:27:19,16.21
74,ID1313416879,0.0,2,9,-37.8211331,144.9474792,-38.1109156,144.65417250000002,41874.0,2018-06-19,19:29:02,10067.759999999998,22:16:49,17.29
75,ID3840366424,1.0,1,8,-37.8084167,144.9520604,-37.8158343,145.04645,8639.0,2018-02-19,20:52:14,2500.9800000000005,21:33:54,20.29
76,ID3286410385,1.0,8,3,-37.8158343,145.04645,-37.814217799999994,144.9901061,5410.0,2018-01-14,09:05:15,1624.62,9:32:19,16.2244058174086
77,ID1902011386,0.0,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-04-20,09:43:18,12069.78,13:04:27,14.96
78,ID3429473103,1.0,1,3,-37.813544,144.95400790000002,-37.8164624,144.97100659999998,2050.0,2018-03-01,10:13:54,554.8199999999998,10:23:08,7.645091250817127
79,ID3290819615,1.0,4,7,-37.8063852,145.01003269999998,-37.8618349,144.90571599999998,12376.0,2018-06-11,05:38:57,3952.0800000000013,6:44:49,29.23
80,ID3300621428,1.0,5,7,-37.8049802,144.92496719999997,-37.8618349,144.90571599999998,11606.0,2018-06-22,20:29:24,3685.26,21:30:49,23.57225072782987
81,ID5973038335,2.0,9,1,-38.1109156,144.65417250000002,-37.8010546,144.956769,44075.0,2018-01-15,06:41:04,10664.520000000004,9:38:48,623.54
82,ID1202063848,0.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-07-09,14:38:18,13204.979999999996,18:18:22,20.23
83,ID1949352002,0.0,8,4,-37.8158343,145.04645,-37.810453100000004,145.0037593,3851.0,2018-04-27,21:15:42,1277.34,21:36:59,11.403654931954318
84,ID3807862975,1.0,6,4,-37.7738026,144.98364660000001,-37.7994744,145.00214069999998,9688.0,2018-01-15,07:43:26,2952.8399999999956,8:32:38,15.17
85,ID5189777471,2.0,5,2,-37.8035375,144.93632680000002,-37.818009100000005,144.9485966,2294.0,2018-07-01,12:43:08,552.48,12:52:20,58.96099999101112
86,ID3130583173,1.0,8,6,-37.8158343,145.04645,-37.7738026,144.98364660000001,13562.0,2018-03-01,05:36:43,4192.259999999998,6:46:35,30.83
87,ID1163448987,0.0,1,4,-37.8246362,144.9568396,-37.8030375,145.004495,5779.0,2018-05-18,22:33:19,1502.8800000000006,22:58:21,10.75
88,ID5309315737,2.0,1,5,-37.8130244,144.9353036,-37.798871399999996,144.9198335,3568.0,2018-02-01,09:33:45,822.3600000000001,9:47:27,59.30096374714238
89,ID3978345340,1.0,5,2,-37.8115487,144.9361249,-37.8114674,144.9365158,484.0,2018-02-11,04:10:16,123.48,4:12:19,22.13098970804923
90,ID1780488294,0.0,5,2,-37.7999235,144.93506430000002,-37.8158064,144.9373219,3658.0,2018-06-20,02:45:23,917.28,3:00:40,10.46
91,ID1430565282,0.0,3,8,-37.817325700000005,145.0080576,-37.8158343,145.04645,3997.0,2018-05-20,15:28:00,1290.36,15:49:30,11.6
92,ID3453331560,1.0,5,4,-37.8010331,144.92856719999997,-37.8005148,145.00361519999998,9881.0,2018-05-20,17:40:44,2482.679999999999,18:22:06,24.791200639544385
93,ID5275181382,2.0,4,5,-37.8038322,145.00564730000002,-37.8129576,144.933682,8018.0,2018-06-12,11:19:07,2063.0400000000013,11:53:30,130.32
94,ID3843730421,1.0,1,3,-37.8187402,144.9679507,-37.81455820000001,144.9940228,2723.0,2018-07-21,19:10:40,665.5200000000002,19:21:45,19.16
95,ID1510323915,0.0,1,9,-37.819467200000005,144.9610029,-38.1109156,144.65417250000002,43209.0,2018-03-27,02:06:24,10413.06,4:59:57,22.02
96,ID3788634480,1.0,9,2,-38.1109156,144.65417250000002,-37.809426200000004,144.9288648,43484.0,2018-05-22,14:37:37,10425.059999999998,17:31:22,47.43319962146248
97,ID5510572108,2.0,3,7,-37.824998,144.99804,-37.8618349,144.90571599999998,10104.0,2018-03-07,13:23:36,3212.4,14:17:08,206.2
98,ID5491201085,2.0,7,5,-37.8618349,144.90571599999998,-37.8036511,144.9365946,10767.0,2018-04-01,07:25:50,3472.3799999999987,8:23:42,217.22
99,ID1896162898,0.0,9,6,-38.1109156,144.65417250000002,-37.7738026,144.98364660000001,51061.0,2018-01-05,09:43:56,12952.44000000001,13:19:48,17.358602558866156
100,ID5702412931,2.0,2,6,-37.814957899999996,144.9275311,-37.7907967,144.985865,8010.0,2018-01-13,10:37:45,2158.3200000000006,11:13:43,141.5477970357513
101,ID1822051705,0.0,9,5,-38.1109156,144.65417250000002,-37.816502299999996,144.92828669999997,44108.0,2018-07-27,12:15:59,10599.54,15:12:38,18.05388085294824
102,ID1531787794,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-04-22,05:45:53,12681.060000000005,9:17:14,26.038551149057454
103,ID3209828661,1.0,6,7,-37.7738026,144.98364660000001,-37.8618349,144.90571599999998,16033.0,2018-02-05,01:12:24,5323.559999999999,2:41:07,34.44990799588885
104,ID1370846216,0.0,5,7,-37.8053799,144.9372176,-37.8618349,144.90571599999998,10710.0,2018-06-25,11:37:09,3478.5600000000004,12:35:07,7.544518364550523
105,ID1729502974,0.0,9,4,-38.1109156,144.65417250000002,-37.801283899999994,144.988679,46502.0,2018-06-19,03:04:38,11226.600000000004,6:11:44,21.719765171334384
106,ID1644862257,0.0,7,1,-37.8618349,144.90571599999998,-37.802784499999994,144.9504177,10041.0,2018-06-18,23:13:34,3314.9999999999964,0:08:49,13.49
107,ID3648230496,1.0,1,6,-37.815189600000004,144.9363179,-37.7738026,144.98364660000001,10109.0,2018-03-14,11:06:02,3062.58,11:57:04,16.063700002228288
108,ID3731867325,1.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-07-07,08:08:16,4911.5999999999985,9:30:07,27.159493615320958
109,ID1765420966,0.0,8,5,-37.8158343,145.04645,-37.8097865,144.9318465,10526.0,2018-02-24,09:09:04,2943.0599999999977,9:58:07,9.16
110,ID3319730017,1.0,5,7,-37.8053575,144.92714909999998,-37.8618349,144.90571599999998,11632.0,2018-03-07,06:33:12,3691.5000000000014,7:34:43,18.11478557144629
111,ID1579284265,0.0,1,8,-37.8021972,144.9630762,-37.8158343,145.04645,7857.0,2018-04-19,09:55:24,2289.84,10:33:33,7.87
112,ID3816025304,1.0,1,3,-37.819972,144.95648219999998,-37.8142312,144.98567340000002,2858.0,2018-03-23,21:57:40,756.8400000000001,22:10:16,18.73
113,ID3380949482,1.0,4,8,-37.8115122,144.99648969999998,-37.807202000000004,145.0266373,3374.0,2018-04-05,11:42:33,802.5599999999997,11:55:55,8.91
114,ID3968539193,1.0,2,5,-37.823132799999996,144.9517408,-37.8068929,144.9377451,2565.0,2018-03-20,08:41:17,650.04,8:52:07,8.17
